品类,删失日占比,其中时点信号,b(不修正),"b(EM修正,2SLS主)",t(b),se(b)HAC,一阶段F,b(剔除删失日),b(DML-PLIV),b(Laspeyres口径),先验b0,先验τ0,数据权重,b(后验收缩),隐含弹性@P̄(后验),内点价P*=1/b(后验),P̄,历史价域,样本日数
花叶类,0.101,0.101,0.063,0.0454,6.4,0.0071,3215.0,0.0668,0.3279,-1.0076,0.1249,0.0535,0.983,0.0467,-0.26,21.4,5.6,"[2.61,10.04]",1063
食用菌,0.101,0.101,0.0252,0.0161,2.7,0.0059,2526.0,0.0258,0.3369,-0.9315,0.085,0.0364,0.975,0.0179,-0.15,56.0,8.23,"[3.74,14.63]",1063
辣椒类,0.101,0.101,0.0174,0.0119,1.9,0.0063,2691.0,0.015,0.2372,-0.0094,0.083,0.0356,0.969,0.0141,-0.12,70.87,8.43,"[3.41,22.39]",1063
水生根茎类,0.0,0.0,0.0325,0.0325,3.8,0.0085,4564.0,0.0325,0.4155,0.1422,0.0803,0.0344,0.942,0.0352,-0.31,28.39,8.72,"[5.61,23.25]",1063
茄类,0.1,0.1,0.0182,0.0229,2.0,0.0116,1698.0,0.0291,0.1634,0.0599,0.0818,0.035,0.901,0.0288,-0.25,34.75,8.56,"[4.32,16.29]",1028
花菜类,0.1,0.1,0.045,0.0437,6.0,0.0073,1721.0,0.0332,0.9362,0.4103,0.0764,0.0327,0.953,0.0453,-0.41,22.08,9.16,"[4.10,18.88]",1061
